DateTime,Level
2000,"25,200"
2001,"25,200"
2002,"26,500"
2003,"28,500"
2004,"30,000"
2005,"34,100"
2006,"37,200"
2007,"39,900"
2008,"38,700"
2009,"32,300"
2010,"29,800"
2011,"29,700"
2012,"30,400"
2013,"32,100"
2014,"33,200"
2015,"36,100"
2016,"39,200"
2017,"37,400"
2018,"37,600"
2019,"37,600"
2020,"36,700"
2021,"36,800"
